Header,Data
2024/01 ,"Região|UF|Município	UF	Ano/Semana	Casos prováveis de Dengue.
Sudeste	Sao Paulo	2024/09	69,502
Sul	Parana	2024/09	26,571
Sul	Rio Grande Do Sul	2024/09	7,253
Sul	Santa Catarina	2024/09	12,553"
2024/10 ,"Região|UF|Município	UF	Ano/Semana	Casos prováveis de Dengue.
Centro-Oeste	Distrito Federal	2024/10	19,030
Centro-Oeste	Goias	2024/10	17,398
Centro-Oeste	Mato Grosso	2024/10	1,552
Centro-Oeste	Mato Grosso Do Sul	2024/10	1,018
Nordeste	Alagoas	2024/10	511
Nordeste	Bahia	2024/10	15,548
Nordeste	Ceara	2024/10	448
Nordeste	Maranhao	2024/10	825
Nordeste	Paraiba	2024/10	997
Nordeste	Pernambuco	2024/10	1,160
Nordeste	Piaui	2024/10	819
Nordeste	Rio Grande Do Norte	2024/10	1,176
Nordeste	Sergipe	2024/10	78
Norte	Acre	2024/10	121
Norte	Amapa	2024/10	566
Norte	Amazonas	2024/10	377
Norte	Para	2024/10	1,146
Norte	Rondonia	2024/10	594
Norte	Roraima	2024/10	15
Norte	Tocantins	2024/10	227
Sudeste	Espirito Santo	2024/10	11,199
Sudeste	Minas Gerais	2024/10	127,096
Sudeste	Rio De Janeiro	2024/10	24,347
Sudeste	Sao Paulo	2024/10	82,796
Sul	Parana	2024/10	32,690
Sul	Rio Grande Do Sul	2024/10	10,077
Sul	Santa Catarina	2024/10	14,780"
2024/11 ,"Região|UF|Município	UF	Ano/Semana	Casos prováveis de Dengue.
Centro-Oeste	Distrito Federal	2024/11	17,147
Centro-Oeste	Goias	2024/11	18,423
Centro-Oeste	Mato Grosso	2024/11	1,670
Centro-Oeste	Mato Grosso Do Sul	2024/11	1,186
Nordeste	Alagoas	2024/11	528
Nordeste	Bahia	2024/11	17,456
Nordeste	Ceara	2024/11	435
Nordeste	Maranhao	2024/11	959
Nordeste	Paraiba	2024/11	958
Nordeste	Pernambuco	2024/11	1,192
Nordeste	Piaui	2024/11	873
Nordeste	Rio Grande Do Norte	2024/11	1,276
Nordeste	Sergipe	2024/11	87
Norte	Acre	2024/11	116
Norte	Amapa	2024/11	361
Norte	Amazonas	2024/11	335
Norte	Para	2024/11	1,167
Norte	Rondonia	2024/11	461
Norte	Roraima	2024/11	18
Norte	Tocantins	2024/11	235
Sudeste	Espirito Santo	2024/11	11,689
Sudeste	Minas Gerais	2024/11	128,459
Sudeste	Rio De Janeiro	2024/11	22,399
Sudeste	Sao Paulo	2024/11	98,688
Sul	Parana	2024/11	38,094
Sul	Rio Grande Do Sul	2024/11	12,057
Sul	Santa Catarina	2024/11	17,868"
2024/12 ,"Região|UF|Município	UF	Ano/Semana	Casos prováveis de Dengue.
Centro-Oeste	Distrito Federal	2024/12	15,300
Centro-Oeste	Goias	2024/12	17,807
Centro-Oeste	Mato Grosso	2024/12	1,632
Centro-Oeste	Mato Grosso Do Sul	2024/12	1,183
Nordeste	Alagoas	2024/12	554
Nordeste	Bahia	2024/12	18,624
Nordeste	Ceara	2024/12	459
Nordeste	Maranhao	2024/12	1,097
Nordeste	Paraiba	2024/12	1,009
Nordeste	Pernambuco	2024/12	1,201
Nordeste	Piaui	2024/12	788
Nordeste	Rio Grande Do Norte	2024/12	1,141
Nordeste	Sergipe	2024/12	66
Norte	Acre	2024/12	74
Norte	Amapa	2024/12	340
Norte	Amazonas	2024/12	235
Norte	Para	2024/12	1,124
Norte	Rondonia	2024/12	355
Norte	Roraima	2024/12	9
Norte	Tocantins	2024/12	266
Sudeste	Espirito Santo	2024/12	10,721
Sudeste	Minas Gerais	2024/12	131,934
Sudeste	Rio De Janeiro	2024/12	18,360
Sudeste	Sao Paulo	2024/12	129,724
Sul	Parana	2024/12	43,676
Sul	Rio Grande Do Sul	2024/12	14,373
Sul	Santa Catarina	2024/12	24,662"
2024/13 ,"Região|UF|Município	UF	Ano/Semana	Casos prováveis de Dengue.
Centro-Oeste	Distrito Federal	2024/13	10,205
Centro-Oeste	Goias	2024/13	14,490
Centro-Oeste	Mato Grosso	2024/13	1,329
Centro-Oeste	Mato Grosso Do Sul	2024/13	1,007
Nordeste	Alagoas	2024/13	438
Nordeste	Bahia	2024/13	16,981
Nordeste	Ceara	2024/13	474
Nordeste	Maranhao	2024/13	769
Nordeste	Paraiba	2024/13	686
Nordeste	Pernambuco	2024/13	905
Nordeste	Piaui	2024/13	635
Nordeste	Rio Grande Do Norte	2024/13	877
Nordeste	Sergipe	2024/13	69
Norte	Acre	2024/13	92
Norte	Amapa	2024/13	365
Norte	Amazonas	2024/13	150
Norte	Para	2024/13	952
Norte	Rondonia	2024/13	159
Norte	Roraima	2024/13	6
Norte	Tocantins	2024/13	230
Sudeste	Espirito Santo	2024/13	8,309
Sudeste	Minas Gerais	2024/13	100,194
Sudeste	Rio De Janeiro	2024/13	12,570
Sudeste	Sao Paulo	2024/13	122,568
Sul	Parana	2024/13	42,304
Sul	Rio Grande Do Sul	2024/13	15,565
Sul	Santa Catarina	2024/13	25,745"
2024/14 ,"Região|UF|Município	UF	Ano/Semana	Casos prováveis de Dengue.
Centro-Oeste	Distrito Federal	2024/14	10,450
Centro-Oeste	Goias	2024/14	17,710
Centro-Oeste	Mato Grosso	2024/14	1,861
Centro-Oeste	Mato Grosso Do Sul	2024/14	1,073
Nordeste	Alagoas	2024/14	478
Nordeste	Bahia	2024/14	19,552
Nordeste	Ceara	2024/14	753
Nordeste	Maranhao	2024/14	864
Nordeste	Paraiba	2024/14	819
Nordeste	Pernambuco	2024/14	1,215
Nordeste	Piaui	2024/14	823
Nordeste	Rio Grande Do Norte	2024/14	994
Nordeste	Sergipe	2024/14	103
Norte	Acre	2024/14	78
Norte	Amapa	2024/14	410
Norte	Amazonas	2024/14	215
Norte	Para	2024/14	1,071
Norte	Rondonia	2024/14	205
Norte	Roraima	2024/14	12
Norte	Tocantins	2024/14	242
Sudeste	Espirito Santo	2024/14	8,590
Sudeste	Minas Gerais	2024/14	103,240
Sudeste	Rio De Janeiro	2024/14	14,756
Sudeste	Sao Paulo	2024/14	138,385
Sul	Parana	2024/14	46,132
Sul	Rio Grande Do Sul	2024/14	18,731
Sul	Santa Catarina	2024/14	28,261"
2024/15 ,"Região|UF|Município	UF	Ano/Semana	Casos prováveis de Dengue.
Centro-Oeste	Distrito Federal	2024/15	9,488
Centro-Oeste	Goias	2024/15	18,163
Centro-Oeste	Mato Grosso	2024/15	1,828
Centro-Oeste	Mato Grosso Do Sul	2024/15	1,158
Nordeste	Alagoas	2024/15	554
Nordeste	Bahia	2024/15	17,727
Nordeste	Ceara	2024/15	846
Nordeste	Maranhao	2024/15	800
Nordeste	Paraiba	2024/15	715
Nordeste	Pernambuco	2024/15	1,071
Nordeste	Piaui	2024/15	748
Nordeste	Rio Grande Do Norte	2024/15	889
Nordeste	Sergipe	2024/15	73
Norte	Acre	2024/15	83
Norte	Amapa	2024/15	321
