UF,Ano/Semana,Casos prováveis de Dengue
Rio Grande Do Norte,2025/06 ,"133"
Sergipe,2025/06 ,"13"
Acre,2025/06 ,"660"
Amapa,2025/06 ,"126"
Amazonas,2025/06 ,"197"
Para,2025/06 ,"909"
Rondonia,2025/06 ,"139"
Roraima,2025/06 ,"6"
Tocantins,2025/06 ,"90"
Espirito Santo,2025/06 ,"1582"
Minas Gerais,2025/06 ,"7624"
Rio De Janeiro,2025/06 ,"1775"
Sao Paulo,2025/06 ,"34702"
Parana,2025/06 ,"2482"
Rio Grande Do Sul,2025/06 ,"267"
Santa Catarina,2025/06 ,378
Distrito Federal,2025/07 ,"470"
Goias,2025/07 ,"4009"
Mato Grosso,2025/07 ,"1757"
Mato Grosso Do Sul,2025/07 ,"414"
Alagoas,2025/07 ,"85"
Bahia,2025/07 ,"1083"
Ceara,2025/07 ,"112"
Maranhao,2025/07 ,"206"
Paraiba,2025/07 ,"299"
Pernambuco,2025/07 ,"371"
Piaui,2025/07 ,"236"
Rio Grande Do Norte,2025/07 ,"159"
Sergipe,2025/07 ,"13"
Acre,2025/07 ,"586"
Amapa,2025/07 ,"124"
Amazonas,2025/07 ,"234"
Para,2025/07 ,"1091"
Rondonia,2025/07 ,"73"
Roraima,2025/07 ,"11"
Tocantins,2025/07 ,"163"
Espirito Santo,2025/07 ,"1380"
Minas Gerais,2025/07 ,"8462"
Rio De Janeiro,2025/07 ,"2108"
Sao Paulo,2025/07 ,"40144"
Parana,2025/07 ,"3616"
Rio Grande Do Sul,2025/07 ,"389"
Santa Catarina,2025/07 ,412
Distrito Federal,2025/08 ,"502"
Goias,2025/08 ,"3828"
Mato Grosso,2025/08 ,"1668"
Mato Grosso Do Sul,2025/08 ,"451"
Alagoas,2025/08 ,"87"
Bahia,2025/08 ,"1132"
Ceara,2025/08 ,"117"
Maranhao,2025/08 ,"348"
Paraiba,2025/08 ,"364"
Pernambuco,2025/08 ,"470"
Piaui,2025/08 ,"245"
Rio Grande Do Norte,2025/08 ,"169"
Sergipe,2025/08 ,"9"
Acre,2025/08 ,"573"
Amapa,2025/08 ,"136"
Amazonas,2025/08 ,"232"
Para,2025/08 ,"944"
Rondonia,2025/08 ,"69"
Roraima,2025/08 ,"5"
Tocantins,2025/08 ,"142"
Espirito Santo,2025/08 ,"1459"
Minas Gerais,2025/08 ,"9611"
Rio De Janeiro,2025/08 ,"1770"
Sao Paulo,2025/08 ,"44782"
Parana,2025/08 ,"4738"
Rio Grande Do Sul,2025/08 ,"669"
Santa Catarina,2025/08 ,551
Distrito Federal,2025/09 ,"424"
Goias,2025/09 ,"3329"
Mato Grosso,2025/09 ,"1163"
Mato Grosso Do Sul,2025/09 ,"506"
Alagoas,2025/09 ,"78"
Bahia,2025/09 ,"979"
Ceara,2025/09 ,"101"
Maranhao,2025/09 ,"232"
Paraiba,2025/09 ,"164"
Pernambuco,2025/09 ,"354"
Piaui,2025/09 ,"239"
Rio Grande Do Norte,2025/09 ,"171"
Sergipe,2025/09 ,"21"
Acre,2025/09 ,"417"
Amapa,2025/09 ,"88"
Amazonas,2025/09 ,"199"
Para,2025/09 ,"790"
Rondonia,2025/09 ,"125"
Roraima,2025/09 ,"10"
Tocantins,2025/09 ,"114"
Espirito Santo,2025/09 ,"999"
Minas Gerais,2025/09 ,"8161"
Rio De Janeiro,2025/09 ,"1250"
Sao Paulo,2025/09 ,"46940"
Parana,2025/09 ,"5360"
Rio Grande Do Sul,2025/09 ,"874"
Santa Catarina,2025/09 ,612
Distrito Federal,2025/10 ,"416"
Goias,2025/10 ,"3268"
Mato Grosso,2025/10 ,"1272"
Mato Grosso Do Sul,2025/10 ,"638"
Alagoas,2025/10 ,"78"
Bahia,2025/10 ,"988"
Ceara,2025/10 ,"157"
Maranhao,2025/10 ,"237"
Paraiba,2025/10 ,"164"
Pernambuco,2025/10 ,"390"
Piaui,2025/10 ,"265"
Rio Grande Do Norte,2025/10 ,"157"
Sergipe,2025/10 ,"29"
Acre,2025/10 ,"410"
Amapa,2025/10 ,"62"
Amazonas,2025/10 ,"255"
Para,2025/10 ,"878"
Rondonia,2025/10 ,"207"
Roraima,2025/10 ,"11"
Tocantins,2025/10 ,"120"
Espirito Santo,2025/10 ,"897"
Minas Gerais,2025/10 ,"8198"
Rio De Janeiro,2025/10 ,"1421"
Sao Paulo,2025/10 ,"53002"
Parana,2025/10 ,"6427"
Rio Grande Do Sul,2025/10 ,"1234"
Santa Catarina,2025/10 ,795
Distrito Federal,2025/11 ,"473"
Goias,2025/11 ,"3698"
Mato Grosso,2025/11 ,"1543"
Mato Grosso Do Sul,2025/11 ,"723"
Alagoas,2025/11 ,"89"
Bahia,2025/11 ,"1191"
Ceara,2025/11 ,"226"
Maranhao,2025/11 ,"318"
Paraiba,2025/11 ,"217"
Pernambuco,2025/11 ,"602"
Piaui,2025/11 ,"272"
Rio Grande Do Norte,2025/11 ,"253"
Sergipe,2025/11 ,"47"
Acre,2025/11 ,"445"
Amapa,2025/11 ,"61"
Amazonas,2025/11 ,"319"
Para,2025/11 ,"883"
Rondonia,2025/11 ,"317"
Roraima,2025/11 ,"17"
Tocantins,2025/11 ,"125"
Espirito Santo,2025/11 ,"1055"
Minas Gerais,2025/11 ,"9566"
Rio De Janeiro,2025/11 ,"1493"
Sao Paulo,2025/11 ,"56589"
Parana,2025/11 ,"7735"
Rio Grande Do Sul,2025/11 ,"2244"
Santa Catarina,2025/11 ,1104
Distrito Federal,2025/12 ,"398"
Goias,2025/12 ,"3546"
Mato Grosso,2025/12 ,"1381"
Mato Grosso Do Sul,2025/12 ,"929"
Alagoas,2025/12 ,"109"
Bahia,2025/12 ,"1229"
Ceara,2025/12 ,"230"
Maranhao,2025/12 ,"382"
Paraiba,2025/12 ,"207"
Pernambuco,2025/12 ,"704"
Piaui,2025/12 ,"358"
Rio Grande Do Norte,2025/12 ,"256"
Sergipe,2025/12 ,"80"
Acre,2025/12 ,"452"
Amapa,2025/12 ,"51"
Amazonas,2025/12 ,"268"
Para,2025/12 ,"924"
Rondonia,2025/12 ,"327"
Roraima,2025/12 ,"11"
Tocantins,2025/12 ,"146"
Espirito Santo,2025/12 ,"1067"
Minas Gerais,2025/12 ,"9866"
Rio De Janeiro,2025/12 ,"1636"
Sao Paulo,2025/12 ,"58181"
Parana,2025/12 ,"8736"
Rio Grande Do Sul,2025/12 ,"2912"
Santa Catarina,2025/12 ,1334
Distrito Federal,2025/13 ,"360"
Goias,2025/13 ,"3668"
Mato Grosso,2025/13 ,"1409"
Mato Grosso Do Sul,2025/13 ,"993"
Alagoas,2025/13 ,"179"
Bahia,2025/13 ,"1221"
Ceara,2025/13 ,"292"
Maranhao,2025/13 ,"366"
Paraiba,2025/13 ,"201"
Pernambuco,2025/13 ,"829"
Piaui,2025/13 ,"308"
Rio Grande Do Norte,2025/13 ,"287"
Sergipe,2025/13 ,"70"
Acre,2025/13 ,"315"
Amapa,2025/13 ,"48"
Amazonas,2025/13 ,"309"
Para,2025/13 ,"836"
Rondonia,2025/13 ,"158"
Roraima,2025/13 ,"7"
Tocantins,2025/13 ,"122"
Espirito Santo,2025/13 ,"1056"
Minas Gerais,2025/13 ,"10065"
Rio De Janeiro,2025/13 ,"1659"
Sao Paulo,2025/13 ,"52175"
Parana,2025/13 ,"9532"
Rio Grande Do Sul,2025/13 ,"5119"
Santa Catarina,2025/13 ,1469
Distrito Federal,2025/14 ,"321"
Goias,2025/14 ,"3656"
Mato Grosso,2025/14 ,"1287"
Mato Grosso Do Sul,2025/14 ,"948"
Alagoas,2025/14 ,"131"
Bahia,2025/14 ,"1196"
Ceara,2025/14 ,"383"
Maranhao,2025/14 ,"390"
Paraiba,2025/14 ,"225"
Pernambuco,2025/14 ,"870"
Piaui,2025/14 ,"390"
Rio Grande Do Norte,2025/14 ,"403"
Sergipe,2025/14 ,"72"
Acre,2025/14 ,"298"
Amapa,2025/14 ,"28"
Amazonas,2025/14 ,"336"
Para,2025/14 ,"871"
Rondonia,2025/14 ,"126"
Roraima,2025/14 ,"15"
Tocantins,2025/14 ,"228"
Espirito Santo,2025/14 ,"1117"
Minas Gerais,2025/14 ,"9830"
Rio De Janeiro,2025/14 ,"1547"
Sao Paulo,2025/14 ,"47676"
Parana,2025/14 ,"10748"
Rio Grande Do Sul,2025/14 ,"7459"
Santa Catarina,2025/14 ,2205
Distrito Federal,2025/15 ,"310"
Goias,2025/15 ,"3107"
Mato Grosso,2025/15 ,"1331"
Mato Grosso Do Sul,2025/15 ,"1105"
Alagoas,2025/15 ,"116"
Bahia,2025/15 ,"1114"
Ceara,2025/15 ,"403"
Maranhao,2025/15 ,"276"
Paraiba,2025/15 ,"269"
Pernambuco,2025/15 ,"770"
Piaui,2025/15 ,"308"
Rio Grande Do Norte,2025/15 ,"467"
Sergipe,2025/15 ,"77"
Acre,2025/15 ,"253"
Amapa,2025/15 ,"23"
Amazonas,2025/15 ,"327"
Para,2025/15 ,"737"
Rondonia,2025/15 ,"111"
Roraima,2025/15 ,"15"
Tocantins,2025/15 ,"253"
Espirito Santo,2025/15 ,"1227"
Minas Gerais,2025/15 ,"8597"
Rio De Janeiro,2025/15 ,"1458"
Sao Paulo,2025/15 ,"40222"
Parana,2025/15 ,"10013"
Rio Grande Do Sul,2025/15 ,"7329"
Santa Catarina,2025/15 ,2426
Distrito Federal,2025/16 ,"307"
Goias,2025/16 ,"2583"
Mato Grosso,2025/16 ,"1084"
Mato Grosso Do Sul,2025/16 ,"1157"
Alagoas,2025/16 ,"82"
Bahia,2025/16 ,"789"
Ceara,2025/16 ,"363"
Maranhao,2025/16 ,"150"
Paraiba,2025/16 ,"290"
Pernambuco,2025/16 ,"493"
Piaui,2025/16 ,"158"
Rio Grande Do Norte,2025/16 ,"394"
Sergipe,2025/16 ,"67"
Acre,2025/16 ,"319"
Amapa,2025/16 ,"15"
Amazonas,2025/16 ,"291"
Para,2025/16 ,"477"
Rondonia,2025/16 ,"110"
Roraima,2025/16 ,"25"
Tocantins,2025/16 ,"453"
Espirito Santo,2025/16 ,"1324"
Minas Gerais,2025/16 ,"6002"
Rio De Janeiro,2025/16 ,"996"
Sao Paulo,2025/16 ,"29191"
Parana,2025/16 ,"8357"
Rio Grande Do Sul,2025/16 ,"7276"
Santa Catarina,2025/16 ,2600
Distrito Federal,2025/17 ,"266"
Goias,2025/17 ,"1719"
Mato Grosso,2025/17 ,"887"
Mato Grosso Do Sul,2025/17 ,"1046"
Alagoas,2025/17 ,"48"
Bahia,2025/17 ,"588"
Ceara,2025/17 ,"315"
Maranhao,2025/17 ,"78"
Paraiba,2025/17 ,"302"
Pernambuco,2025/17 ,"257"
Piaui,2025/17 ,"134"
Rio Grande Do Norte,2025/17 ,"437"
Sergipe,2025/17 ,"36"
Acre,2025/17 ,"148"
Amapa,2025/17 ,"1"
Amazonas,2025/17 ,"148"
Para,2025/17 ,"266"
Rondonia,2025/17 ,"42"
Roraima,2025/17 ,"25"
Tocantins,2025/17 ,"438"
Espirito Santo,2025/17 ,"1320"
Minas Gerais,2025/17 ,"4137"
Rio De Janeiro,2025/17 ,"765"
Sao Paulo,2025/17 ,"21839"
Parana,2025/17 ,"7625"
Rio Grande Do Sul,2025/17 ,"7840"
Santa Catarina,2025/17 ,3732
